,tweet,directed,original_score,dt2_pred,roberta_pred,final_roberta_pred
880,‰ЫП@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.‰Ыќ,iPad or iPhone App,2.0,2,2,2
832,Apple won #SxSW from day one. Seeing a TON of #iPad2,iPad,2.0,1,2,2
727,‰ЫП@mention #sxsw ipad store sold out of everything except 64gig wifi only white‰Ыќ also known as the white jeans configuration.,iPad,2.0,1,0,1
367,Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,iPad,2.0,1,0,0
920,Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,,1.0,1,1,1
1212,#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,iPad,2.0,1,2,2
1169,@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,,2.0,1,2,2
734,ipad2 and #sxsw...a conflagration of doofusness.  {link},iPad,0.0,1,0,1
78,"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",iPad,0.0,1,1,1
356,Currently 150 people in line at the &quot;Pop Up Apple Store&quot; #sxsw,,1.0,1,1,1
446,"Only iPad 2 available at #sxsw is the 64GB wifi-only model at $699, plus the optional (not!) leather smart cover at $69",,1.0,2,2,2
526,"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw",iPad,0.0,1,0,0
1033,The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},iPad,2.0,1,1,1
85,New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi,iPad or iPhone App,2.0,1,1,1
720,"Just took a piss at the trade show, iPad in one hand, iPhone in the other. Pissing. I am KIIIIIILLING it right now. #sxsw",,1.0,1,0,0
258,HOBO WITH A SHOTGUN iPhone game {link} #sxsw,,1.0,1,1,1
194,Just read about #GroupMe at #SXSW...sounds like an incredible app. Is it available for Android phones yet?,iPad or iPhone App,2.0,1,2,2
836,Paraormal activity: Sanctuary iphone game. Sketching your AR experience. Interactivity through &quot;magic lense&quot; #EduAR #sxsw,,1.0,1,1,1
160,picked up an ipad 2 at the #sxsw pop up  apple store! only 15 minute wait!,iPad,2.0,1,2,2
196,Of course Apple built a temp store in Austin. It's Texas. They understand the concept of corralling cattle #SXSW #PickMeUpAniPad2,Apple,0.0,1,2,2
1225,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new ... {link} #Cnet,Apple,2.0,1,2,2
602,‰ЫП@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch&quot; oh YAY more traffic.,Apple,0.0,1,2,2
195,#technews Apple Opening Pop-Up Store In Austin For SXSW {link} #Tech_News #American_Statesman #Apple #Apple_Apple #SXSW #tech,,1.0,1,2,2
167,"At #SXSW, Apple schools the marketing experts  {link}",,1.0,1,2,1
863,"At #SXSW, Apple schools the marketing experts | CNET Blogs {link} #Austin #ATX #retail",Apple,2.0,1,2,2
90,‰ЫП@mention Apple store downtown Austin open til Midnight. #sxsw‰Ыќ any ipad2 left in stock?,,1.0,1,1,1
1274,@mention  Apple Store on Congress  {link} #sxsw #austin,,1.0,1,2,2
989,Temporary Apple store at #sxsw - huge line. {link},,1.0,1,2,2
994,Base Camp Apple.  #SXSW {link},,1.0,1,1,1
35,10 iPhone Apps you‰ЫЄll Probably Need and Use During #SXSW {link},iPad or iPhone App,2.0,1,1,1
998,Unloading at #apple store corner of 6th and congress in Austin. Temp store for #SXSW  {link},,1.0,1,1,1
335,"If you're at #SXSW and want an iPad 2, Apple's setting up a temporary store. Check it out! {link}",,1.0,1,2,2
780,Overheard at #sxsw &quot;the iPad is a relaxing computer&quot;: agreed. #iPad #apple,iPad,2.0,1,2,2
1163,"For those at #SXSW: Apple sets up 5,000-square-foot temporary store at SXSW to sell new iPads, test potential traffic {link}",,1.0,1,2,2
658,Nerd bait at #SXSW! Apple set to open popup shop in core of SXSW action {link},,1.0,1,2,2
634,"Last year at #SXSWi everbody was talking about the iPad, this year it's social media driven revolutions. This year is better. #sxsw",iPad,2.0,1,2,2
592,The queue at the apple pop-up store #sxsw {link},,1.0,1,1,1
1335,Any #SXSW attendees need a QR code reader for their iPhone? Tweet us an image of you with your badge and the first 5 get Optiscan free!,iPad or iPhone App,2.0,1,1,1
839,‰ЫП@mention Awesome to meet @mention @mention and @mention standing in the Apple queue at #sxsw yesterday. On to Day 2.‰Ыќ&lt;&lt; so cute!,,1.0,1,2,2
569,My iPhone battery can't keep up with my tweets! Thanks Apple.  #SXSW  #precommerce,iPhone,0.0,1,2,2
415,Celebrate Beauty of the Web @mention the MSFT #IE9 launch &amp; play our new #html5 game to win an iPad2 {link} #sxsw,iPad,2.0,1,2,2
1326,"Companies believing in #NFC Google with the Nexus S, Nokia but also carriers, Verifone, and even Apple it seems #sxsw #sxswnfc",,1.0,2,2,2
966,{link} Go beyond Earth Hour this year by sharing positive actions with the world. Download the #EarthHour 60+ iPhone app. #SXSW,iPad or iPhone App,2.0,1,2,2
438,So far my biggest #SXSW mistake is not bringing my iPhone/iPad charger,,1.0,1,0,0
876,"HootSuite blog ‰ЫТ Social Media Dashboard еИ HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android
{link}",,1.0,1,1,1
1291,"HootSuite blog ‰ЫТ Social Media Dashboard еИ HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link}",,1.0,1,1,1
279,‰ЫП@mention Buying 2 new iPad's with @mention #geekdate #apple #sxsw #ipad2‰Ыќ :),iPad,2.0,1,2,2
51,"tools for collaboration across boundaries ~ google, webex, dropbox, whiteboarding, basecamp, join.me, ipad #sxsw #evolvingworkplace",,1.0,1,2,2
886,Seriously considering leaving my MacBook Pro at home and flying solo with the iPad for a week. Think I can make it work? #sxsw,iPad,2.0,1,2,2
11,If only I could find @mention at #SXSW. He's probably fitIng with his iPad.,,1.0,1,2,2
1328,It's just crazy to look around sxsw and realize last year no one had an iPad. #sxsw,,1.0,1,0,0
617,Shipments daily - follow @mention #AppleATXdt 4 updates RT @mention Pop-up Apple Store seems to be out of pop-up iPad2s. #SXSW,,0.0,1,2,2
1136,Four more days! #ipad #sxsw #weekend #battlela,iPad,2.0,1,2,2
136,IPhone is dead. Find me on the secret batphone #sxsw.,iPhone,0.0,1,0,0
846,Mobile is definitely the hot topic this year. Every session is standing room only. Next  - lessons learnt building Netflix iPhone app #sxsw,,1.0,1,2,2
1276,"Attending Designing iPad Interfaces - New Navigation Schemas. With AKQA's Lynn Teo. Ballroom A. And yes, we are hiring. #sxsw",,1.0,1,2,2
1089,Adobe has developed an engine to essentially convert SWF files to jQuery/HTML5.  So existing flash files can be portable on your ipad. #sxsw,,1.0,1,2,1
1279,Behaviour diff. Lots of phone calls while using ipad/laptop. Notsomuch with the mobiles internets. #sxsw,,1.0,1,1,1
787,Why Barry Diller thinks iPad only content is nuts @mention #SXSW @mention {link} @mention,iPad,0.0,1,1,1
441,What time does the #apple store at #sxsw open? Pulling the #ipad2 trigger.,,1.0,1,1,1
425,"Before It Even Begins, #Apple Wins #SXSW: Over the past week, there‰ЫЄs been a major dilemma in‰Ы_ {link}",,1.0,2,2,2
573,"Before It Even Begins, Apple Wins #SXSW - TechCrunch - {link} #ipad",Apple,2.0,2,2,2
810,"Before It Even Begins, Apple Wins #SXSW {link} /via @mention by @mention for @mention",Apple,2.0,2,2,2
733,"Before It Even Begins, Apple Wins #SXSW {link} via @mention",Apple,2.0,2,2,2
183,"Before It Even Begins, Apple WinsеК#SxSW, {link} -&gt; gonna get sum! via @mention",Apple,2.0,2,2,2
323,"Before It Even Begins, Apple Wins SXSW {link} #apple #ipad2 #SXSW #TC",Apple,2.0,2,2,2
654,"Before It Even Begins, Apple Wins SXSW {link} #tc #apple #ipad2 #sxsw",Apple,2.0,2,2,2
298,"Before It Even Begins, Apple WinsеКSXSW {link} via @mention #apple #sxsw",Apple,2.0,2,2,2
807,"Before It Even Begins, Apple Wins SXSW: {link} Via @mention @mention #Apple #SXSW",Apple,2.0,2,2,2
1280,"Hey #sxsw exhibitors, why not capture your booth experience with a Retrollect disc? Most popular disc wins iPad 2! {link}",iPad,2.0,1,2,2
852,Is he the first person in the queue at the new apple store in Austin? May we be #sxsw  {link},,1.0,1,1,1
746,Hitlantis for the iPad. Cool song explorer app. Hitlantis.com. #sxsw #musicviz,iPad or iPhone App,2.0,2,2,2
1001,Hey #SXSW friends -- anyone have an iPhone charger that @mention can borrow TONIGHT? LMK.,,1.0,1,1,1
672,Any of my friends at SxSW willing to pick me up an iPad - will pay a premium. DM me #sxsw #atl {link},iPad,2.0,1,2,2
568,Person in front of me just took a picture with his new iPad #sxsw,iPad,2.0,1,1,1
930,‰ЫП@mention Get a look at #SXSW's rumored #Apple &quot;pop-up&quot; store in Austin: {link},,1.0,1,1,1
888,I need to go to #sxsw. but i have 7-mo. old. no sitter. know where to score apple-martin-like #babyheadphones ?,,1.0,1,1,1
14,"#SXSW Why Google, Apple, EA Games, Zynga, Facebook, Microsoft and Intuit went gaga for The Go Game: {link}",,1.0,1,2,2
1214,I've been having meetings while I'm in line at the #SXSW PopUp Apple Store for the iPad2. I love this place!,iPad,2.0,2,2,2
1126,#Apple to Hawk iPad 2 at #SXSW Festival Popup Store!  {link}  by @mention,iPad or iPhone App,2.0,1,2,2
794,"Oh Lordy, here we go... RT @mention What time does the #apple store at #sxsw open? Pulling the #ipad2 trigger.",iPad,2.0,1,1,1
92,"‰ЫП@mention Hey Austin, know a little about #iPhone or #Android, love music &amp; wanna make $20/hour during #SXSW?  Please let me know.‰Ыќ",,1.0,1,2,2
757,"Wondering how much revenue the Austin @mention store grossed on account of the ipad2, amid #sxsw ...what a strategic release...",,2.0,1,2,1
1016,.@mention I have a feeling #SXSW will be the worst place to try &amp; get an iPad 2- everyone there will be trying to get one. #techiesunite,iPad,0.0,1,0,0
515,"Love that I have a MacBook, iPad, and iPhone with me at #sxsw this year. One runs out of juice, and I can jump to the next.",iPhone,2.0,2,2,2
1189,"Ok nerds, I totally am Bateman. You want me to sign your iPad 2? #sxsw",,1.0,1,2,2
775,‰ЫП@mention I'll be at the Austin Convention Center today w/ my @mention fam... showing my new iPhone game. #SXSW‰Ыќ,,2.0,1,2,2
823,@mention  I'm beyond frustrated w/ @mention after this Samsung Moment runaround &amp; am leaving for ATT &amp; iPhone so I can enjoy #sxsw.,iPhone,2.0,1,0,0
1127,Wondering if anyone at #SXSW will sell me a Verizon iPhone? Bueller?,,1.0,1,1,1
835,"‰ЫП@mention If I show up at #sxsw with my 1st gen iPad, will they still let me in the door?‰Ыќ ( Too funny Tim!! )",,1.0,1,2,2
192,This Week in #iPad clip: @mention joins @mention to review the free #SXSW Go #App! {link} #iPad2 #SXSWGo,,2.0,1,1,1
1134,I will be in Austin this weekend @mention #SXSW supporting Smarty Ears' launch of new iPad apps for Speech Therapy {link} #sxswh #sxsh,,2.0,1,2,2
635,"For those in need of sweet Mac goodness at #SXSW, Apple has set up a temporary store downtown: {link}",Apple,2.0,1,2,2
7,The apple influence on ditto: one button login choice with facebook. #sxsw #UnderstandingHumans,,1.0,1,1,1
1302,Rockin an iPad 2 from the downtown Apple #SXSW store. #apple,iPad,2.0,1,2,2
738,Heard the iPad 2 launch at #sxsw was pretty intense.,,1.0,1,2,2
69,"‰ЫП@mention iPad 2 Sold Out, 70% Went to New Buyers [REPORT] - {link} #sxsw #socialmedia #tech #ipad2 #media‰Ыќ",iPad,2.0,1,2,2
693,Designing iPad interfaces with @mention #UXDes #SXSW  {link},,1.0,1,1,1
123,Spin Play iPad launch Party. Hanging with @mention and @mention #sxsw (@mention Cedar Street Courtyard) {link},,1.0,1,1,1
1096,Pic of my iPad-winning performance: {link} #sxsw #accordion #toodamnlucky,iPad,2.0,1,2,2
877,"&quot;the iPhone is a transient device used in short bursts; the iPad is an 'after 8pm, on the couch' device.&quot; @mention #sxsw",iPhone,2.0,1,1,1
1283,"Flipboard is developing an iPhone version, not Android, says @mention #sxsw",iPhone,2.0,1,1,1
975,‰ЫП@mention is walking around #SXSW while staring down at my iPhone 4... Just like everyone else.‰Ыќ // ummmm...ditto that,iPhone,1.0,1,1,1
53,Of course it does! RT @mention #SXSW Gets Its Own Apple Store {link} #geeksrule,Apple,2.0,1,2,2
140,"Gotta get it! RT @mention Hey Taariq, howdy from Texas, fav #sXsw app is: {link} &lt;--android-or get Iphone #UsGuys",iPad or iPhone App,2.0,1,2,2
297,‰ЫП@mention It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},,1.0,1,2,2
475,"@mention  Its bigger than an iphone and smaller than a PC, so good for big events like #SXSW and meeting day? {link}",iPad,2.0,1,2,2
1080,Posterous Joins The SXSW Pile On With Posterous Events For iPhone - TechCrunch {link} #sxsw,,1.0,1,1,1
648,Posterous Joins The SXSW Pile On With Posterous Events For iPhone {link} #iPhone #RichPearson #SXSW,,1.0,1,1,1
1234,"#technews Just In Time For SXSW, Foursquare Ups The Game And... {link} #Tech_News #Friends_Offer #iPhone #SXSW #The_Game #tech",,1.0,1,1,1
887,"‰ЫП@mention Just picked up my iPad 2, now back to #sxsw {link} .. So what cha think. Is it worth the upgrade?",,1.0,1,1,1
563,This iPad keeps me awake. Thank god I bought it.... #SXSW,iPad,2.0,1,2,2
479,"God, it's like being at #sxsw - have iMac, MacBook, iPhone and BlackBerry all staring at me. Enough! Time to read a book - remember those?",iPhone,0.0,1,2,2
1308,"Saw giant line, thought it was for movie premiere. It was at apple store for iPad 2. Heard more screams than at premiere! #SXSW",iPad,2.0,1,1,2
1025,Are there lines at the temp Apple Store in Austin yet? #sxsw,,1.0,1,1,1
849,"You gotta love @mention @mention unabashed Apple #fanboy &gt;&gt; Before It Even Begins, Apple Wins #SXSW :: {link}",Apple,2.0,2,2,2
689,So geeky! Love it! RT @mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},Apple,2.0,2,2,2
420,"Bummed to miss #SXSW this year, but we're all quarantined with the same kiddie cold, and I have GarageBand on my iPad to comfort me. #fb",iPad,2.0,1,0,0
847,"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link} (via @mention",,1.0,1,1,1
1147,"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link} #hootsuite",,1.0,1,1,1
566,"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Shared by Paul‰Ы_ {link} #shared",,1.0,1,1,1
227,Having so much fun handing out chances to win 2 Audi cars with @mention #SXSW  (@mention Apple Store SXSW) {link},,1.0,1,2,2
1139,What do u need? @mention Groups challenged with coming up with iPhone app to solve parenting issues #sxsw #worklifeprogress,,1.0,1,1,1
295,"iPhone in one hand, caramel macchiato in the other. Ouch-hiss-hot!  With apparently two pumps of lava. And so it begins... #sxsw #tmsxsw",iPhone,2.0,1,1,1
1158,#Apple to Open Pop-Up Shop at #SXSW [REPORT] {link} (via @mention,,1.0,1,1,1
597,#Apple to Open Pop-Up Shop at #SXSW [REPORT]: Apple is set to open a temporary store in the‰Ы_ {link},,1.0,1,2,2
921,#Apple to Open Pop-Up Shop at #SXSW [REPORT]: Apple is set to open a temporary store in the... {link} #realestate #tech,,1.0,1,2,2
249,#Apple to Open Pop-Up Shop at SXSW {link} &lt;---cool concept but I wouldn't spend my #SXSW waiting for the #iPad2,iPad,0.0,2,2,2
41,Wear your OpenBeta VIP Badge at #sxsw and you might win an iPad from QuiBids and a case from @mention #sxswbuffalo,,1.0,1,2,2
131,The #sxsw Pepsi Max Marketing Street Team has shown up to the PopUp Apple Store line handing out drinks &amp; Tshirts. {link},,1.0,1,1,1
610,The apple pop up store at #sxsw is no joke.,Apple,2.0,1,2,2
67,The Apple pop-up store is more attractive and impressive than many permanent retail stores. #sxsw,Apple,2.0,1,2,2
665,Love it . RT @mention From #Apple to Naomi Campbell: pop-up stores are all the rage: {link} #sxsw,Apple,2.0,2,2,2
609,Wow. Just saw someone using a computing device other than a Mac or an iPad here at #sxsw A rare sighting indeed.,,2.0,1,2,2
1014,I've seen several people working on iPad 2s at #SXSW today.,,1.0,1,2,2
1315,"Danger of sitting on floor and charging your laptop, iPod, iPhone, etc is the dreaded &quot;dead butt&quot;. Damn those tingles. #sxsw #SXnewworlds",,1.0,1,0,0
1179,‰ЫП@mention So @mention just spilled the beans: next platform for Flipboard is the iPhone. Team started working on it. #sxflip #SXSW #SXSWi‰Ыќ Gr8!,,2.0,1,2,1
1330,iPad 2 is sold-out and 70% were 1st time users #sxsw,iPad,2.0,1,2,1
290,the #iPad spambots are ramping up #ipad2 #apple #free #offers #sxsw #spammers #goaway,,1.0,1,2,2
1078,"There are still iPad 2s to be had, at least at the #sxsw pop-up Apple store. @mention just bought one.",iPad,2.0,1,2,2
153,‰ЫП@mention Stop by and let us make you a custom iPhone case! #zazzlesxsw #Sxsw #sxswi {link}  {link},,1.0,1,2,2
333,the apple store at #sxsw is almost sell out...,,1.0,1,2,2
254,"Oh, Apple Store...you look so at home here in downtown Austin #SXSW #sxtxstate @mention Apple Store, SXSW {link} #photo",Apple,2.0,1,2,2
1210,Just what sxsw needed. More lines! Apple to open temporary store in downtown Austin for #SXSW and the iPad 2 launch bit.ly/g03MZB,,1.0,1,2,2
1305,"Just read that #apple will be at #SXSW selling iPad 2 on release day. Good lord, the vortex of smugness that day may be unbearable.",Apple,0.0,1,1,0
932,hahahahah that's funny RT @mention Never seen so many heads turn at one point. Someone from #Apple asks a question to Reid Hoffman #SXSW,,1.0,1,2,2
987,For being the &quot;interactive&quot; portion of #sxsw people sure aren't interacting much #iPhone #iStoned #tweetaholic #tech #tweetanonymous #addict,,1.0,1,0,1
132,Pics from the #apple #ipad2 line at #SXSW #fb  {link} {link} http://t.co/26SVO3m,,1.0,1,1,1
1228,Hopefully the best thing that comes from #SXSW isn't the fact people flew to Austin to pick up an iPad.,iPad,2.0,1,2,2
805,Check out the FREE SXSW Sampler on iTunes! {link} #SXSW,Other Apple product or service,2.0,1,1,1
606,Audioboo: The front of the Apple iPad 2 queue {link} #sxsw #sxswsa #apple #ipad2 #Austin #Texas,,1.0,1,2,2
1219,.@mention the iPad DJ is setting up at @mention #sxsw,,1.0,1,1,1
699,‰ЫП@mention The iPad 2 Takes Over #SXSW [VIDEO]: {link} via Mashable‰Ыќ,,1.0,1,1,1
951,‰ЫП@mention The new Whrrl app is now live in the iPhone app store AND Android marketplace. Get it while it's hot! (Just in time for #SXSW!)‰Ыќ,iPad or iPhone App,2.0,1,2,2
487,I must be the only one at #sxsw without an iPad2. Someone needs to make a case that makes my original iPad look like a new 2nd gen.,iPad,2.0,1,1,1
1165,No longer the only one eating alone at a table for one with my iPhone and Facebook... It's the new normal #SxSW,,1.0,1,2,2
1231,Unveiling the pop-up Apple store in the Scarborough Building! #SXSW  {link},Apple,2.0,1,2,2
353,"Last year there was not a single iPad in public at #sxsw. Today, they're more common than laptops, and I haven't seen any android tablets.",iPad,2.0,1,1,1
1115,I like to think Apple decided to sell their new iPad at #SXSW based on my suggestion - {link} Everyone... you are welcome.,Apple,2.0,1,2,2
168,"In Austin this wk&amp; need your #iPhone or #iPad fixed,find the guy w/the sign on the Hilton cnr near conventionctr #sxsw {link}",,1.0,1,1,1
579,LISTEN TO THIS!! the brocast: episode #2 {link} #ios #apple #iphone #sxsw #music @mention @mention @mention,,1.0,1,2,2
164,Excellent tip from @mention Going to #SXSW? The new iPhone guide to #Austin by @mention is free March 9-15. Hard to beat free. #lp,iPhone,2.0,1,2,2
470,#SXSW Pro Tip: Remove access to corporate twitter account from iPhone by 4pm each day.,,1.0,1,1,1
545,listening to @mention discuss new interaction paradigms in designing for the ipad #uxdes #sxsw,,1.0,1,1,1
636,"On my way to &quot;iPad Design Headaches.&quot; Not sure it's bloggable, but I'm sure it will be interesting! #SXSW {link}",iPad,2.0,1,2,2
811,my metric to determine the engagement of a #SXSW session? ipad battery drained. using 9 % in session no. 1,,1.0,1,1,1
1121,Apple set to open 5000 sqft. Pop up Store on Congress Ave. during #SXSW {link},,1.0,1,2,2
246,Apple set to open a pop-up shop at the #SXSW Interactive Conference. {link} #apple #iPad2 #marketing #media,,1.0,1,2,2
1331,Apple set to open popup shop in core of #SXSW action {link} (iPad2 on the ground.),,1.0,1,2,2
532,Apple set to open popup shop in core of SXSW action  - they're going to sell iPad2 at #SXSW! {link},iPad,2.0,1,2,2
614,Apple set to open popup shop in core of SXSW action {link} #sxsw #app... {link} http://bit.ly/bvHD5s,,1.0,1,1,2
499,Apple set to open popup shop in core of SXSW action {link} #sxsw #apple,,1.0,1,2,2
826,Listening to some Australian knob (celebrity journalist) shoot (and re-shoot and re-shoot) his iPhone vid about meeting the celebs at #SXSW,,1.0,1,1,1
801,I'm going to wait for the #iPad 4. you KNOW its going to be better than the iPad 2. #SXSW,iPad,2.0,1,2,2
86,Apple has two Austin stores but until this week no downtown presence. That changes with an #sxsw popup store {link} #pcbuzz,,1.0,1,2,2
339,Apple has two Austin stores but until this week no downtown presence. That changes with an #sxsw popup store {link} ~@mention,Apple,2.0,1,2,2
144,"Apple Pop Up Store for #SXSW, Why not Pop Up Genius Bars - Everywhere?",,2.0,1,2,2
134,Def could use an iPad for  #SXSW today. Tweeting via iPhone sorta pretty much sux.,iPhone,0.0,1,2,2
1049,The prob. w/ seeing @mention at a #SXSW Interactive show is that these nerds are more concerned with their iphone videos than the actual show,,1.0,1,0,1
893,my iphone was stolen and I got it back !!!!!! #sxsw,,1.0,1,2,2
474,At #sxsw? We're giving away an iPad 2 to the creator of the most popular disc during interactive. Create a disc &amp; share on Twitter!,iPad,2.0,1,2,2
104,"&quot;Are you bringing Flipboard to android? No, but we are bringing it to iPhone. We're still rounding over the corners for iOS&quot; #cmsxsw #sxsw",,1.0,1,1,2
459,#winning - Free #SXSW music sampler on iTunes! 22 tracks from &quot;industry favorites &amp; breakout artists&quot; Link: {link},Other Apple product or service,2.0,1,2,2
338,Hey #SXSW-ers - coming in now. How long is the #Apple pop-up store line?,,1.0,1,2,2
1292,Apple out-markets all comers at #sxsw {link},Apple,2.0,1,2,2
374,Apple pop-up at #SXSW!? Ordinance on the front line! (Admission is the first step to recovery) {link},Apple,2.0,1,2,2
507,"Yesterday, I left the house without my phone. Then I forgot to charge iPad overnight. #mobilefail #sxsw",,1.0,1,0,0
1056,"At midday, iPhone at mid-battery. This outlet, blocked by an immobile booth, serves no purpose but to taunt me. #SXSW {link}",iPhone,0.0,1,0,0
542,"Booth 313, There is still time for the power challenge. Ride the bike. Get a bottle, enter to win an iPad. #sxsw #thisiscrazyfun",,1.0,1,2,2
343,SKORE &gt; @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,,1.0,1,2,2
551,Done &amp; done! @mention Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip #in,,1.0,1,1,2
503,Ideas? RT: @mention Groups were challenged with coming up with an iPhone app to solve their parenting/start-up issues #sxsw,,1.0,1,1,1
277,toptweets: RT @mention It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},,1.0,1,2,2
813,toptweets: RT @mention It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the... {link},,1.0,1,2,1
211,Good News! Austin Eats: BBQ for iPhone is now available - {link} #iTunes #Austin #BBQ #SXSW #SXSWi,iPad or iPhone App,2.0,1,2,2
814,I KNEW IT! RT @mention Apple set to open popup shop in core of SXSW action {link} via @mention #SXSW,,1.0,1,2,2
834,Very cool! RT @mention RT @mention Not a rumor: Apple to open temporary store in dt ATX for #SXSW &amp; iPad 2 launch {link},Apple,2.0,2,2,2
511,Brilliant!! RT @mention I've been having meetings while I'm in line at the #SXSW PopUp Apple Store for the iPad2. I love this place!,Apple,2.0,2,2,2
366,What time? I'm in. RT @mention I'll be at the Austin Convention Center today w/ my @mention fam... showing my new iPhone game. #SXSW,,1.0,1,2,2
915,Hilarious. RT @mention Look for me at sxsw. I'm the bearded guy in plaid on an iPhone.  #sxsw,,1.0,1,1,2
796,Finally... Yeaayyy RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable,iPad or iPhone App,2.0,1,2,2
1227,Very wise... RT @mention Apple is opening up a temp store in Austin for #SXSW {link} via @mention #iPad2,Other Apple product or service,2.0,1,2,2
